2024;;;
name_;code_;male_;female_
Pressbaum;<31951>;3808;4126
Purkersdorf;<31952>;4762;5197
Tullnerbach;<31953>;1451;1500
Wolfsgraben;<31954>;868;906
Absdorf;<32101>;1205;1264
Atzenbrugg;<32104>;1694;1771
Fels am Wagram;<32106>;1231;1272
Grafenwörth;<32107>;1567;1733
Großriedenthal;<32109>;491;479
Großweikersdorf;<32110>;1641;1731
Judenau-Baumgarten;<32112>;1212;1174
Kirchberg am Wagram;<32114>;1861;1969
Klosterneuburg;<32144>;13434;14681
Königsbrunn am Wagram;<32115>;702;732
Königstetten;<32116>;1232;1288
Langenrohr;<32119>;1273;1299
Michelhausen;<32120>;2113;2121
Muckendorf-Wipfing;<32143>;846;851
St. Andrä-Wördern;<32142>;3833;4120
Sieghartskirchen;<32131>;3925;3942
Sitzenberg-Reidling;<32132>;1189;1270
Tulbing;<32134>;1641;1674
Tulln an der Donau;<32135>;8186;8763
Würmla;<32139>;827;793
Zeiselmauer-Wolfpassing;<32140>;1127;1155
Zwentendorf an der Donau;<32141>;2095;2100
Alland;<30601>;1316;1364
Bad Vöslau;<30603>;5977;6465
Baden;<30604>;12142;13781
Blumau-Neurißhof;<30646>;946;992
Ebreichsdorf;<30607>;5904;6074
Günselsdorf;<30612>;835;893
Heiligenkreuz;<30613>;846;776
Klausen-Leopoldsdorf;<30616>;810;870
Kottingbrunn;<30618>;3645;3887
Leobersdorf;<30620>;2563;2702
Mitterndorf an der Fischa;<30621>;1546;1550
Oberwaltersdorf;<30623>;2519;2665
Pfaffstätten;<30625>;1720;1768
Pottendorf;<30626>;3862;3819
Reisenberg;<30629>;910;868
Schönau an der Triesting;<30631>;1059;1059
Seibersdorf;<30633>;796;783
Sooß;<30635>;535;530
Tattendorf;<30636>;725;710
Teesdorf;<30637>;938;953
Traiskirchen;<30639>;9449;9760
Trumau;<30641>;1806;1932
Au am Leithaberge;<30701>;478;473
Bad Deutsch-Altenburg;<30702>;918;1055
Berg;<30703>;475;501
Bruck an der Leitha;<30704>;4115;4431
Ebergassing;<30729>;2143;2162
Enzersdorf an der Fischa;<30706>;1793;1808
Fischamend;<30730>;2754;2954
Göttlesbrunn-Arbesthal;<30708>;720;741
Götzendorf an der Leitha;<30709>;1132;1097
Gramatneusiedl;<30731>;1783;1894
Hainburg a.d. Donau;<30710>;3410;3623
Haslau-Maria Ellend;<30711>;1003;1026
Himberg;<30732>;4031;4161
Hof am Leithaberge;<30713>;861;823
Höflein;<30712>;601;619
Hundsheim;<30715>;307;359
Klein-Neusiedl;<30733>;451;508
Lanzendorf;<30734>;957;991
Leopoldsdorf;<30735>;2696;2780
Mannersdorf am Leithagebirge;<30716>;2103;2121
Maria-Lanzendorf;<30736>;1080;1164
Moosbrunn;<30737>;879;930
Petronell-Carnuntum;<30718>;644;628
Prellenkirchen;<30719>;869;825
Rauchenwarth;<30738>;393;412
Rohrau;<30721>;831;839
Scharndorf;<30722>;626;606
Schwadorf;<30739>;1145;1159
Schwechat;<30740>;10561;10666
Sommerein;<30724>;1072;1153
Trautmannsdorf an der Leitha;<30726>;1456;1492
Wolfsthal;<30728>;624;622
Zwölfaxing;<30741>;844;835
Achau;<31701>;845;846
Biedermannsdorf;<31702>;1494;1654
Breitenfurt bei Wien;<31703>;2913;3103
Brunn am Gebirge;<31704>;6012;6289
Gaaden;<31706>;762;836
Gießhübl;<31707>;1187;1287
Gumpoldskirchen;<31709>;1925;2099
Guntramsdorf;<31710>;4613;4753
Hennersdorf;<31711>;754;788
Hinterbrühl;<31712>;1919;1976
Kaltenleutgeben;<31713>;1612;1700
Laab im Walde;<31714>;528;591
Laxenburg;<31715>;1450;1610
Maria Enzersdorf;<31716>;4151;4640
Mödling;<31717>;9788;10792
Münchendorf;<31718>;1562;1657
Perchtoldsdorf;<31719>;7196;7713
Vösendorf;<31723>;3704;3974
Wiener Neudorf;<31725>;4687;4941
Wienerwald;<31726>;1428;1485
